@RELATION medidor_tres_janela_quinze

@ATTRIBUTE medida_um		REAL
@ATTRIBUTE medida_dois		REAL
@ATTRIBUTE medida_tres		REAL
@ATTRIBUTE medida_quatro	REAL
@ATTRIBUTE medida_cinco		REAL
@ATTRIBUTE medida_seis		REAL
@ATTRIBUTE medida_sete		REAL
@ATTRIBUTE medida_oito		REAL
@ATTRIBUTE medida_nove		REAL
@ATTRIBUTE medida_dez		REAL
@ATTRIBUTE medida_onze		REAL
@ATTRIBUTE medida_doze		REAL
@ATTRIBUTE medida_treze		REAL
@ATTRIBUTE medida_quatorze	REAL
@ATTRIBUTE valor_predito	REAL
@ATTRIBUTE dia_de_semana	REAL
@ATTRIBUTE fim_de_semana	REAL
@ATTRIBUTE estacao_do_ano	REAL
@DATA
196.900,176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,68.200,1,0,4
176.000,47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,68.200,68.200,1,0,4
47.300,45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,68.200,68.200,68.200,1,0,4
45.100,48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,68.200,68.200,68.200,69.300,1,0,4
48.400,46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,68.200,68.200,68.200,69.300,68.200,1,0,4
46.200,33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,68.200,68.200,68.200,69.300,68.200,67.100,1,0,4
33.000,67.100,70.400,68.200,68.200,70.400,69.300,68.200,68.200,68.200,68.200,69.300,68.200,67.100,68.200,1,0,4
69.300,68.200,68.200,67.100,68.200,69.300,68.200,68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,1,0,4
68.200,68.200,67.100,68.200,69.300,68.200,68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,1,0,4
68.200,67.100,68.200,69.300,68.200,68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,1,0,4
67.100,68.200,69.300,68.200,68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,1,0,4
68.200,69.300,68.200,68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,1,0,4
69.300,68.200,68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,232.100,1,0,4
68.200,68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,232.100,176.000,1,0,4
68.200,67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,232.100,176.000,75.900,1,0,4
67.100,68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,232.100,176.000,75.900,86.900,1,0,4
68.200,68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,232.100,176.000,75.900,86.900,74.800,1,0,4
68.200,69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,232.100,176.000,75.900,86.900,74.800,90.200,1,0,4
69.300,88.000,156.200,234.300,236.500,234.300,177.100,234.300,232.100,176.000,75.900,86.900,74.800,90.200,78.100,1,0,4
